Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
27/10/2009,238169,542932,679583,325438
03/11/2009,238169,544988,672303,323540
10/11/2009,238149,541591,669864,324081
17/11/2009,238150,545786,649907,325762
24/11/2009,238147,547763,649482,326084
01/12/2009,238147,544165,649004,327870
08/12/2009,238145,544941,648119,328224
15/12/2009,238146,548195,629285,328916
22/12/2009,238147,552049,722935,329221
29/12/2009,238147,556186,728584,329546
05/01/2010,266919,559458,749906,328652
12/01/2010,266919,559004,724030,329637
19/01/2010,266918,556640,719875,327173
26/01/2010,266918,553656,720920,328848
02/02/2010,266919,553237,726311,331188
09/02/2010,266919,556293,718663,332625
16/02/2010,266919,556630,717097,334041
23/02/2010,266919,560930,719170,333852
02/03/2010,266919,559392,726910,335796
09/03/2010,266919,561794,724920,336678
16/03/2010,266919,558078,722849,338851
23/03/2010,266920,559107,723427,340258
30/03/2010,266919,559634,725409,342936
06/04/2010,286699,570621,740025,345203
13/04/2010,286699,570607,730854,348494
20/04/2010,286699,566004,736282,351004
27/04/2010,286698,568498,735937,352127
04/05/2010,286699,571745,743631,354744
11/05/2010,286698,576383,759976,360184
18/05/2010,286697,592272,806663,377311
25/05/2010,286696,584470,811688,387114
01/06/2010,286692,588409,815138,398211
08/06/2010,286692,584589,826577,400650
15/06/2010,286691,584451,829523,406461
22/06/2010,286691,582759,844913,410377
29/06/2010,286690,582753,870354,414448
06/07/2010,352092,600408,680576,416735
13/07/2010,352092,599609,635009,418037
20/07/2010,352093,598416,619406,417074
27/07/2010,351970,597928,625198,418516
03/08/2010,351969,599424,632499,417768
10/08/2010,351971,597151,597060,418724
17/08/2010,351970,595526,585841,419749
24/08/2010,351970,596394,587419,420281
31/08/2010,351970,593831,590512,421613
07/09/2010,351970,595565,591826,423862
14/09/2010,351970,602790,592199,426296
21/09/2010,351948,601101,589092,428341
28/09/2010,351948,597621,592503,429284
05/10/2010,334411,586038,514117,431319
12/10/2010,334411,586011,514201,433329
19/10/2010,334411,589156,518524,434855
26/10/2010,334412,591920,516058,435573
02/11/2010,334412,589855,534093,437319
09/11/2010,334412,584405,528871,438665
16/11/2010,334409,588080,515799,440691
23/11/2010,334412,594403,515548,444025
30/11/2010,334411,611855,523184,446511
07/12/2010,334411,613279,525791,450649
14/12/2010,334383,615538,547560,454180
21/12/2010,334382,615669,538830,456351
28/12/2010,334384,619093,513127,459550
04/01/2011,367402,632856,546747,457427
11/01/2011,367432,646065,493963,458435
18/01/2011,367431,649884,478354,461477
